cluster_id	total_hits	terminal_hits	left_hits	right_hits	terminal_fraction	expected_terminal_fraction	terminal_enrichment	median_width	mean_width	min_width	max_width	n_chromosomes	score
cluster_1835	4339	57	50	7	0.013136667434892833	0.003920968219582141	3.3503631499193363	19	18.162710301912885	11	320	1	120.90474265595687
cluster_1816	6375	59	55	4	0.009254901960784314	0.003920968219582141	2.3603613807843136	16	17.071686274509805	11	326	1	103.16836712806538
cluster_1825	5005	54	48	6	0.01078921078921079	0.003920968219582141	2.7516700429570427	16	17.657342657342657	11	323	1	103.00677926234131
cluster_1847	5320	54	51	3	0.010150375939849625	0.003920968219582141	2.5887422114661653	16.0	17.36109022556391	11	316	1	99.54782789762103
cluster_483	3039	41	38	3	0.01349128002632445	0.003920968219582141	3.4408032074695623	14	13.85883514313919	11	362	1	88.1836462494837
cluster_1832	4330	45	43	2	0.010392609699769052	0.003920968219582141	2.65052127886836	16.0	16.46743648960739	11	321	1	84.06461202305455
cluster_632	6699	52	48	4	0.007762352589938797	0.003920968219582141	1.9797030108971485	16	16.77742946708464	11	345	1	81.9087642578243
cluster_2058	2538	36	34	2	0.014184397163120567	0.003920968219582141	3.617575141843971	20.0	19.314814814814813	11	256	1	79.4568757819963
cluster_22	3948	41	38	3	0.01038500506585613	0.003920968219582141	2.648581800278622	15.0	14.968338399189463	11	547	1	76.5607677581568
cluster_642	6653	48	44	4	0.00721479032015632	0.003920968219582141	1.8400532511648877	16	16.268450323162483	11	345	1	72.28406306880576
cluster_492	6137	46	40	6	0.0074955189832165555	0.003920968219582141	1.9116500219977186	16	16.83021020042366	11	361	1	70.92449993774875
cluster_1772	3358	36	34	2	0.01072066706372841	0.003920968219582141	2.7341887164979153	19.0	18.006551518761167	11	334	1	68.42861422496262
cluster_2195	2046	30	28	2	0.01466275659824047	0.003920968219582141	3.7395754765395894	20.0	19.673020527859236	11	209	1	67.34273528434424
