1	OY728119.1:1-2000000
2	OY728124.1:122381056-124381055
3	OY728125.1:1-2000000
4	OY728129.1:1868266306-1870266305
5	OY728130.1:1-2000000
6	OY728134.1:1574301308-1576301307
7	OY728135.1:1-2000000
8	OY728139.1:1529582848-1531582847
9	OY728140.1:1-2000000
10	OY728144.1:619086780-621086779
11	OY728145.1:1-2000000
12	OY728149.1:170723630-172723629
13	OY728150.1:1-2000000
14	OY728154.1:141347571-143347570
15	OY728155.1:1-2000000
16	OY728158.1:1912313493-1914313492
17	OY728159.1:1-2000000
18	OY728162.1:1553468502-1555468501
19	OY728163.1:1-2000000
20	OY728166.1:1496831828-1498831827
