1	0	62
1	10000	59
1	20000	62
1	30000	61
1	40000	60
1	50000	61
1	60000	60
1	70000	61
1	80000	61
1	90000	60
1	100000	61
1	110000	60
1	120000	61
1	130000	61
1	140000	60
1	150000	60
1	160000	61
1	170000	61
1	180000	60
1	190000	61
1	200000	60
1	210000	61
1	220000	61
1	230000	60
1	240000	61
1	250000	60
1	260000	61
1	270000	61
1	280000	60
1	290000	61
1	300000	60
1	310000	61
1	320000	61
1	330000	60
1	340000	60
1	350000	61
1	360000	61
1	370000	60
1	380000	61
1	390000	60
1	400000	61
1	410000	61
1	420000	60
1	430000	61
1	440000	60
1	450000	61
1	460000	61
1	470000	61
1	480000	60
1	490000	61
1	500000	62
1	510000	62
10	1790000	80
10	1800000	85
10	1810000	81
10	1820000	86
10	1830000	81
10	1840000	83
10	1850000	87
10	1860000	83
10	1870000	82
10	1880000	86
10	1890000	82
10	1900000	85
10	1910000	85
10	1920000	83
10	1930000	84
10	1940000	86
10	1950000	80
10	1960000	85
10	1970000	89
10	1980000	85
10	1990000	82
11	0	65
11	10000	65
11	20000	66
11	30000	67
11	40000	65
11	50000	65
11	60000	67
11	70000	11
11	1940000	2
13	0	62
13	10000	60
13	20000	61
13	30000	63
13	40000	62
13	50000	6
13	60000	13
14	1910000	9
14	1920000	14
14	1930000	35
14	1940000	67
14	1950000	66
14	1960000	69
14	1970000	68
14	1980000	66
14	1990000	67
15	20000	53
15	30000	7
15	40000	28
15	50000	21
15	60000	14
15	70000	3
15	80000	27
15	90000	33
15	100000	35
15	110000	36
15	120000	23
15	130000	22
15	140000	7
15	150000	30
15	160000	20
15	170000	24
15	180000	31
15	190000	3
15	200000	19
15	210000	7
15	220000	28
15	230000	12
15	240000	16
15	250000	15
15	260000	7
15	270000	21
15	280000	18
15	290000	10
15	300000	17
15	310000	19
15	320000	13
15	330000	26
15	340000	12
15	350000	28
15	360000	17
15	370000	17
15	380000	35
15	1890000	6
16	1990000	32
17	1320000	3
18	300000	29
18	310000	6
18	570000	12
18	580000	23
19	1390000	63
19	1400000	68
19	1410000	71
19	1420000	34
19	1430000	23
19	1440000	45
19	1450000	21
19	1460000	25
19	1470000	21
19	1480000	29
19	1490000	8
19	1500000	16
19	1510000	44
19	1520000	1
19	1530000	18
19	1540000	10
3	0	66
3	10000	66
3	20000	70
3	30000	65
3	40000	67
3	50000	68
3	60000	66
3	70000	67
3	80000	24
3	1370000	5
3	1380000	7
3	1390000	6
3	1400000	26
3	1410000	17
3	1420000	26
3	1430000	34
3	1440000	40
3	1450000	46
3	1460000	38
3	1470000	34
3	1480000	45
4	1820000	36
4	1830000	73
4	1840000	70
4	1850000	72
4	1860000	73
4	1870000	72
4	1880000	71
4	1890000	73
4	1900000	73
4	1910000	71
4	1920000	72
4	1930000	72
4	1940000	73
4	1950000	71
4	1960000	74
4	1970000	70
4	1980000	73
4	1990000	72
5	0	63
5	10000	60
5	20000	60
5	30000	63
5	40000	7
6	1960000	9
6	1970000	9
6	1980000	51
6	1990000	60
7	10000	29
7	20000	32
8	1890000	23
8	1900000	25
8	1920000	7
8	1930000	33
8	1960000	27
8	1970000	18
8	1980000	19
8	1990000	65
9	220000	12
9	230000	59
9	240000	50
9	250000	39
9	260000	21
9	270000	10
9	300000	38
9	310000	29
9	320000	27
9	330000	17
window	bin_10kb	n_hits
